age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
57, Local-gov,179336, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Female,-15,0,20, United-States, <=50K
41, Self-emp-not-inc,265134, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,51,1,45, United-States, >50K
33, Private,168912, HS-grad,9, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,-20,0,40, United-States, <=50K
47, Private,165572, HS-grad,9, Married-spouse-absent, Sales, Not-in-family, White, Male,10,2151,40, United-States, <=50K
60, Private,22418, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,9,0,46, United-States, >50K
35, Private,204470, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,8,1,46, United-States, >50K
33, Federal-gov,180035, HS-grad,9, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,1,1,40, China, <=50K
24, Private,267884, HS-grad,9, Never-married, Sales, Own-child, White, Male,9,1,27, Laos, <=50K
64, Private,63073, Assoc-voc,11, Never-married, Prof-specialty, Unmarried, Black, Female,5,0,19, United-States, <=50K
66, Federal-gov,139325, Bachelors,13, Divorced, Other-service, Not-in-family, White, Male,-6,0,60, United-States, >50K
65, State-gov,161908, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,-24,2,26, United-States, <=50K
50, Self-emp-not-inc,171245, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,6,1,46, United-States, >50K
37, Private,207380, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,22,1,51, Iran, >50K
61, Self-emp-not-inc,33432, Bachelors,13, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,-25,0,57, Cuba, <=50K
30, ?,159156, HS-grad,9, Never-married, ?, Not-in-family, White, Female,37,1,35, United-States, <=50K
30, Private,174402, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,3,0,40, United-States, <=50K
34, Private,210170, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,-3,1,50, United-States, <=50K
54, Private,181635, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
26, Private,182507, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,-19,1,40, Mexico, <=50K
26, Private,272916, Some-college,10, Never-married, Tech-support, Own-child, Other, Female,-28,0,37, United-States, <=50K
50, Private,84612, 7th-8th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,12,1,96, United-States, <=50K
44, Private,116978, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,15,1,40, United-States, >50K
30, Private,124077, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,-5,0,45, United-States, >50K
41, Private,182006, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Other, Female,-13,0,46, Mexico, <=50K
42, ?,170420, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,8,1,40, United-States, <=50K
50, Private,120127, HS-grad,9, Divorced, Other-service, Not-in-family, White, Male,10,1,40, Iran, <=50K
28, Private,33257, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,-8,0,16, United-States, <=50K
37, Private,201992, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,3,1,40, Philippines, <=50K
25, Private,183100, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,-9,0,24, United-States, <=50K
28, Private,217574, Assoc-acdm,13, Never-married, Farming-fishing, Own-child, Black, Male,7,0,46, United-States, <=50K
41, Private,223347, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Female,-12,0,40, United-States, <=50K
42, Private,165752, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-16,0,44, United-States, <=50K
29, Local-gov,334228, Doctorate,15, Married-civ-spouse, Prof-specialty, Wife, White, Male,14,1,51, United-States, >50K
56, Private,171662, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,8039,1889,40, United-States, >50K
20, Private,178631, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,3,1,40, United-States, <=50K
32, Private,301139, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,11,1,40, United-States, >50K
40, Private,290189, Bachelors,13, Married-spouse-absent, Other-service, Other-relative, White, Male,10,0,36, United-States, <=50K
17, Private,183931, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,-4,1,60, United-States, <=50K
39, Private,99716, Bachelors,13, Never-married, Transport-moving, Not-in-family, Other, Female,10,0,40, Thailand, <=50K
24, Private,202351, Some-college,10, Never-married, Sales, Not-in-family, Other, Female,-8,0,40, Jamaica, <=50K
75, ?,172553, HS-grad,9, Widowed, ?, Not-in-family, White, Female,17,1887,40, United-States, <=50K
30, Private,173060, 10th,5, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,-8,1,40, India, <=50K
41, Private,187727, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,-6,0,59, United-States, <=50K
33, Private,244726, 9th,4, Divorced, Other-service, Unmarried, White, Female,-10,0,40, United-States, <=50K
30, Private,298719, 5th-6th,7, Separated, Other-service, Unmarried, White, Female,-7,0,40, United-States, <=50K
61, Private,190279, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-5,-1,40, United-States, <=50K
32, Self-emp-not-inc,179258, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,5,0,36, United-States, <=50K
56, Private,58667, Masters,14, Widowed, Exec-managerial, Unmarried, Black, Female,-7,1,37, United-States, <=50K
31, Private,54833, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,1,0,31, United-States, <=50K
33, State-gov,243766, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, Black, Female,7,0,60, United-States, <=50K
64, Self-emp-not-inc,33260, Assoc-acdm,13, Married-civ-spouse, Other-service, Not-in-family, White, Male,12,0,74, United-States, <=50K
29, Private,179650, HS-grad,9, Separated, Sales, Unmarried, White, Female,1,0,40, United-States, <=50K
38, Private,168031, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7679,1,44, United-States, >50K
45, Private,268148, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,35,1,44, United-States, <=50K
31, Private,360218, Assoc-acdm,12, Never-married, Handlers-cleaners, Not-in-family, White, Male,-35,1,40, Nicaragua, <=50K
18, Private,223839, 12th,9, Never-married, Machine-op-inspct, Own-child, Other, Female,22,0,22, United-States, <=50K
32, Private,269421, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,-3,1,40, Columbia, <=50K
37, Private,187287, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,43,1,37, United-States, <=50K
29, Private,249175, Some-college,10, Divorced, Adm-clerical, Own-child, Black, Female,-11,1,36, United-States, <=50K
35, Private,259558, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,1,0,40, Ireland, <=50K
34, Private,204741, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,1,0,40, United-States, >50K
21, Private,216893, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,8,1,31, United-States, <=50K
58, Private,55568, 11th,7, Divorced, Tech-support, Not-in-family, White, Male,8,0,25, United-States, <=50K
39, Private,298081, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,5,1,40, Hong, <=50K
17, Private,189061, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,-9,0,59, United-States, <=50K
34, Private,106571, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,14972,0,59, United-States, >50K
30, Private,112832, Bachelors,13, Never-married, Exec-managerial, Unmarried, White, Male,4,0,46, United-States, <=50K
31, Private,277084, Preschool,2, Never-married, Other-service, Not-in-family, White, Female,-15,1,40, Mexico, <=50K
55, State-gov,183737, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,7,0,40, United-States, <=50K
69, Local-gov,117941, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,-2,0,9, United-States, <=50K
47, Private,106989, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-9,1884,45, United-States, >50K
27, Private,272926, 10th,6, Never-married, Handlers-cleaners, Own-child, Other, Male,5,1,40, United-States, <=50K
32, Private,214414, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Male,-2,0,49, United-States, <=50K
60, Private,55765, 11th,7, Married-civ-spouse, Craft-repair, Other-relative, White, Male,-2,0,40, United-States, <=50K
46, Private,175549, HS-grad,9, Separated, Machine-op-inspct, Unmarried, White, Female,17,1,40, United-States, <=50K
70, Private,184545, Some-college,10, Married-civ-spouse, Other-service, Wife, Other, Female,6,1,36, Mexico, <=50K
66, Private,104368, 5th-6th,4, Married-civ-spouse, Exec-managerial, Husband, White, Female,21,1,44, United-States, <=50K
42, Private,115554, Bachelors,13, Separated, Exec-managerial, Not-in-family, White, Male,-27,1,62, United-States, >50K
57, Private,79212, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,-18,1942,45, Canada, <=50K
41, Private,222965, 9th,4, Never-married, Other-service, Not-in-family, Black, Male,-26,0,40, United-States, <=50K
28, Private,430958, 5th-6th,4, Never-married, Machine-op-inspct, Not-in-family, White, Male,17,1,46, Mexico, <=50K
49, Private,35310, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,-17,0,45, United-States, <=50K
36, Private,157436, Bachelors,13, Married-AF-spouse, Prof-specialty, Husband, White, Male,27,1,12, United-States, >50K
61, Federal-gov,140057, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Male,3,0,40, United-States, <=50K
21, Private,173992, HS-grad,9, Never-married, Sales, Own-child, White, Male,11,0,45, Mexico, <=50K
44, Private,96303, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White, Male,-5,1,40, United-States, <=50K
39, Private,191207, Some-college,10, Separated, Adm-clerical, Not-in-family, Black, Male,-1,0,37, United-States, <=50K
34, Private,29915, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,-29,1,46, United-States, <=50K
33, Private,223675, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,-1,1,44, Mexico, <=50K
65, Private,152920, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,8011,0,21, United-States, >50K
34, Private,86762, Bachelors,13, Never-married, Other-service, Not-in-family, White, Female,14,0,40, United-States, <=50K
30, Federal-gov,139288, 11th,3, Married-civ-spouse, Adm-clerical, Wife, White, Female,8,1,40, United-States, >50K
64, Private,186063, 7th-8th,4, Married-civ-spouse, Other-service, Husband, White, Male,8,0,60, United-States, >50K
35, Private,119054, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,-33,1,40, Hong, <=50K
53, Self-emp-not-inc,167202, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,30,0,56, United-States, <=50K
63, Self-emp-not-inc,33843, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,9,1,76, United-States, <=50K
30, Private,333417, Masters,4, Married-civ-spouse, Prof-specialty, Wife, White, Female,20,1,23, Puerto-Rico, <=50K
31, ?,155232, Doctorate,13, Married-civ-spouse, ?, Wife, White, Female,-3,1,10, United-States, >50K
21, Private,193994, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Female,11,0,40, United-States, <=50K
30, Federal-gov,222194, Bachelors,7, Married-civ-spouse, Craft-repair, Husband, White, Male,-4,1,40, United-States, <=50K
19, ?,175864, HS-grad,9, Never-married, ?, Own-child, White, Female,1,0,9, United-States, <=50K
21, Private,187848, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,-22,0,40, United-States, <=50K
37, Private,189117, Some-college,10, Separated, Other-service, Unmarried, White, Female,1,0,36, United-States, <=50K
40, Private,78202, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,19,0,49, United-States, >50K
39, Private,198439, Assoc-acdm,12, Never-married, Machine-op-inspct, Not-in-family, White, Male,-15,1,40, Mexico, <=50K
33, Private,286847, 5th-6th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,20,1,36, Poland, <=50K
28, Private,341864, Masters,14, Never-married, Other-service, Not-in-family, Black, Female,11,1950,46, United-States, <=50K
55, Private,181806, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7628,0,60, United-States, >50K
50, Private,240193, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Other, Male,5,0,37, United-States, <=50K
41, Private,150790, Some-college,10, Married-civ-spouse, Exec-managerial, Other-relative, White, Female,-7,0,30, United-States, >50K
64, Private,209653, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,22,1,45, United-States, <=50K
39, Local-gov,247434, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,-21,1,40, United-States, <=50K
36, Local-gov,162270, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,-1,1,36, United-States, >50K
37, Private,181904, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,-15,0,40, El-Salvador, <=50K
48, Never-worked,37343, 10th,6, Widowed, ?, Own-child, White, Male,14,1,13, United-States, <=50K
37, Private,210025, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,5,0,40, Nicaragua, <=50K
38, Private,131905, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Female,-4,0,45, United-States, <=50K
44, Private,180158, Assoc-voc,11, Separated, Other-service, Unmarried, White, Female,8,0,40, United-States, <=50K
35, ?,286262, HS-grad,9, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female,-4,0,40, Philippines, <=50K
46, Private,157419, HS-grad,9, Separated, Priv-house-serv, Unmarried, Black, Male,13,0,40, United-States, <=50K
17, Private,299107, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Female,-12,0,40, United-States, <=50K
67, Private,196290, Some-college,10, Married-civ-spouse, ?, Wife, White, Female,-12,0,40, United-States, <=50K
31, Self-emp-not-inc,49065, Some-college,10, Divorced, Farming-fishing, Not-in-family, White, Male,1,0,66, United-States, <=50K
17, Private,184178, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,18,0,25, United-States, <=50K
31, Private,225878, 11th,7, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,-24,1,40, United-States, <=50K
31, Private,250455, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,-9,1,40, Jamaica, <=50K
21, Private,179803, Some-college,10, Never-married, Other-service, Own-child, White, Female,11,0,36, United-States, <=50K
27, Private,142908, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,31,1,46, United-States, <=50K
37, Private,308283, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,19,1,40, United-States, <=50K
64, Private,127994, Masters,14, Never-married, Prof-specialty, Not-in-family, Other, Female,29,1,11, ?, <=50K
36, Local-gov,102081, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,20,0,46, United-States, >50K
57, Self-emp-not-inc,143471, Some-college,10, Widowed, Transport-moving, Not-in-family, White, Male,6,-1,67, United-States, <=50K
60, Private,210000, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Male,3,0,40, United-States, >50K
31, Private,173548, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,-3,0,30, United-States, <=50K
53, Self-emp-not-inc,159792, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,11,1,61, United-States, <=50K
58, Private,214020, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,14789,1,37, ?, >50K
39, Private,257302, Assoc-acdm,12, Divorced, Other-service, Not-in-family, White, Male,-19,1,61, Germany, >50K
18, Private,197053, 12th,9, Never-married, Transport-moving, Not-in-family, White, Male,17,0,20, United-States, <=50K
51, ?,86355, 7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,15,0,10, United-States, <=50K
30, Private,28538, 10th,7, Never-married, Craft-repair, Other-relative, White, Female,7,0,40, United-States, <=50K
35, Private,200801, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,10,0,62, United-States, <=50K
33, Private,173054, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,5,0,40, United-States, >50K
58, ?,164537, 12th,7, Never-married, ?, Not-in-family, White, Female,3,1,7, United-States, <=50K
44, Private,135996, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,-14,1,46, United-States, <=50K
34, Private,90603, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,10,1,40, United-States, >50K
32, Private,230559, Some-college,10, Separated, Craft-repair, Not-in-family, White, Female,-15,0,31, United-States, <=50K
67, Private,254327, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-4,0,40, United-States, <=50K
28, Private,445141, Assoc-acdm,13, Never-married, Other-service, Not-in-family, White, Male,-25,0,40, United-States, <=50K
29, Private,253703, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,7699,0,62, United-States, >50K
30, Private,231710, 12th,9, Never-married, Craft-repair, Not-in-family, White, Male,27,1,40, United-States, <=50K
27, Federal-gov,476324, 10th,5, Never-married, Protective-serv, Not-in-family, Black, Male,-16,1,40, Mexico, <=50K
31, Private,105138, Assoc-acdm,13, Married-civ-spouse, Tech-support, Husband, White, Male,-4,1,40, United-States, <=50K
29, Private,229823, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Male,13,1,47, Ecuador, <=50K
52, Local-gov,51487, Assoc-acdm,12, Married-civ-spouse, Other-service, Husband, White, Male,-4,0,40, United-States, <=50K
22, Private,42384, Some-college,10, Divorced, Craft-repair, Own-child, White, Male,-7,0,36, United-States, <=50K
39, Private,189442, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,-4,0,60, United-States, >50K
46, Private,141911, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-10,0,21, United-States, >50K
55, Private,24658, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Other, Male,-1,0,40, United-States, <=50K
70, Self-emp-not-inc,123517, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,7,1,97, ?, <=50K
49, Private,173194, HS-grad,9, Widowed, Adm-clerical, Unmarried, Black, Female,23,1,36, United-States, <=50K
39, Private,108713, Assoc-voc,11, Divorced, Exec-managerial, Not-in-family, White, Female,-5,0,40, United-States, <=50K
33, Private,38716, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,-28,0,40, Hungary, <=50K
57, Private,408726, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,-11,1,16, United-States, <=50K
41, Private,236004, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,4,0,57, United-States, >50K
28, Private,218916, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,5,0,45, United-States, <=50K
44, Private,183939, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,9,0,27, United-States, >50K
34, ?,326632, HS-grad,9, Never-married, ?, Not-in-family, Black, Female,13,1,23, United-States, <=50K
62, Local-gov,128352, Masters,14, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Female,17,1,13, South, <=50K
22, Private,253241, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,21,0,50, United-States, <=50K
68, ?,233077, Assoc-voc,14, Never-married, ?, Not-in-family, White, Male,15504,1,11, United-States, <=50K
44, Private,270684, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,2,0,60, United-States, <=50K
33, Private,167119, Some-college,10, Never-married, Sales, Not-in-family, White, Female,-4,0,40, Columbia, <=50K
36, Local-gov,173515, Bachelors,13, Never-married, Tech-support, Own-child, White, Male,15,1,40, United-States, <=50K
25, Private,141863, Assoc-acdm,12, Never-married, Machine-op-inspct, Not-in-family, White, Male,5,0,40, United-States, <=50K
21, Private,42140, Assoc-voc,11, Never-married, Farming-fishing, Not-in-family, White, Male,14,1,31, United-States, <=50K
62, Self-emp-inc,38890, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,28,0,57, United-States, >50K
20, Private,236139, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,15,1,46, United-States, <=50K
43, Private,193158, Doctorate,16, Married-civ-spouse, Sales, Husband, White, Male,12,1,50, United-States, >50K
32, Private,143071, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,-7,0,40, United-States, <=50K
50, Self-emp-not-inc,49065, Some-college,10, Divorced, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,-2,0,59, United-States, <=50K
67, Self-emp-inc,117747, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,17,1,64, United-States, <=50K
44, Private,198681, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Male,14,0,46, United-States, <=50K
46, Private,205630, HS-grad,9, Separated, Machine-op-inspct, Unmarried, White, Female,9,0,40, United-States, <=50K
22, Private,210339, 10th,6, Never-married, Other-service, Not-in-family, White, Female,-24,1,31, Laos, <=50K
60, Private,148577, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,16,1930,40, Italy, <=50K
24, Private,185688, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White, Male,15,1,40, United-States, <=50K
43, Private,140297, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,7831,1,44, United-States, >50K
45, Local-gov,112981, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,-14,0,30, United-States, <=50K
65, Private,263968, HS-grad,9, Married-civ-spouse, Craft-repair, Other-relative, White, Male,2,1,40, Jamaica, <=50K
41, Private,221869, 1st-4th,3, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,2,0,40, Dominican-Republic, <=50K
31, Private,260002, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,1,40, United-States, <=50K
30, Private,46337, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,-23,1,40, United-States, <=50K
40, Private,181052, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Other, Female,19,1,40, Dominican-Republic, <=50K
57, Local-gov,25182, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,11,1,23, United-States, <=50K
58, Private,107892, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,10,1,45, Ireland, <=50K
37, Private,219001, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,13,1926,40, United-States, >50K
37, Private,190441, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,7825,1,45, United-States, >50K
